Client ID,Name,Age,Sex,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Investment Advisor,Fee Structure,Loyalty Classification,Banking Relationship,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting
PKR81288,Raymond Mills,24,Male,34324,05/06/2019,Anthony Torres,American,Safety Technician IV,Victor Dean,High,Jade,Retail,75384.7686,17677.95,1,484.544,776242.9184,1485828.636672,603617.883648,607332.45523968,12249.9584,1134475.3024,1,2
PKR65833,Julia Spencer,23,Male,42205,12/10/2001,Jonathan Hawkins,African,Software Consultant,Jeremy Porter,High,Jade,Retail,289834.314,17398.92,1,2256.8777,1270615.4307,641482.789563,229521.365073,344635.15740192,61162.3089,2000526.1045,1,3
PKR47499,Stephen Murray,27,Female,7314,01/25/2010,Anthony Berry,European,Help Desk Operator,Ernest Knight,High,Gold,Institutional,169935.2252,42825.9,2,4568.7438,1052715.843,1033401.593412,652674.690576,203054.3481792,79071.7794,548137.5816,1,3
PKR72498,Virginia Garza,40,Male,34594,03/28/1993,Steve Diaz,American,Geologist II,Eric Shaw,Mid,Silver,Institutional,356808.1125,5473.15,2,4205.001,121195.057,1048157.49372,1048157.49372,234685.0193256,57513.652,1148402.292,0,4
PKR60181,Melissa Sanders,46,Female,41269,07/20/2012,Shawn Long,American,Assistant Professor,Kevin Kim,Mid,Platinum,Private Bank,130711.68,48077.6,1,3779.488,1048301.952,487782.534,446644.248,128351.45232,30012.136,1674412.12,0,3
PKR78532,Samuel Hudson,23,Male,13204,02/07/2019,Douglas Tucker,American,Help Desk Technician,Victor Rogers,High,Silver,Private Bank,118326.96,6028.2,2,5148.5625,601902.495,1307269.4085,745627.7367,238310.371431,15615.18,1556031.06,1,2
PKR95683,Timothy Alexander,46,Female,42910,06/02/2002,Douglas Tucker,Asian,Account Coordinator,Eugene Cunningham,High,Gold,Institutional,57336.4736,13929.16,1,959.9016,208909.6884,41200.183332,60588.5049,24639.325326,3045.7812,154111.6164,1,1
PKR40785,Carl Martin,78,Female,6127,11/03/2000,Steve Diaz,European,Automation Specialist II,Joe Carroll,Mid,Gold,Retail,65125.7984,31077.8,1,4576.5824,1140704.8016,156983.131136,53889.731584,46813.77552384,51979.1896,1171456.676,0,2
PKR13570,Philip Day,67,Female,32656,04/07/2015,Bruce Butler,Asian,Software Test Engineer II,Steve Sanchez,High,Silver,Private Bank,87849.4734,9385.35,1,78.624,803444.46,1242347.2152,328334.62116,279528.12342,27125.28,464560.278,0,1
PKR53299,Jason Sims,51,Male,28340,11/20/1995,Joe Price,European,Geologist III,Joe Carroll,Mid,Silver,Institutional,65369.36,27364.8,3,4836.864,60027.904,317246.6688,111532.032,115869.3888,48043.52,908583.936,2,1
PKR76263,Amy Martinez,55,Male,40459,10/18/2014,Adam Hernandez,European,Administrative Officer,Victor Rogers,High,Jade,Commercial,74966.5125,16928.73,1,493.317,214327.8225,37979.773425,19335.15738,52204.924926,10539.7875,353119.932,3,1
PKR56452,David Johnston,73,Female,25563,09/12/2005,Chris Armstrong,American,Database Administrator II,Eugene Cunningham,Mid,Jade,Commercial,111449.0562,17480.19,2,392.5875,580468.506,749007.94425,204991.6479,513425.235048,22904.9085,294397.8465,0,2
PKR28766,Wayne Foster,45,Female,35687,03/17/2018,Joshua Ryan,African,Staff Scientist,Steve Sanchez,Low,Silver,Institutional,115637.1888,10848.6,1,5055.309,815250.639,616330.92885,208277.34837,138738.2173632,6336.645,972455.463,3,1
PKR17897,Carlos Moore,44,Female,19554,01/02/1996,Paul Larson,American,Programmer I,Lawrence Sanchez,High,Jade,Commercial,124434.7776,26146,2,5211.3704,984792.4968,802862.969228,263714.11398,174051.3152268,68855.4876,835554.8348,0,2
PKR86325,Lisa Johnston,36,Male,33368,06/05/1994,Mark Montgomery,Asian,Software Test Engineer I,Ernest Knight,High,Platinum,Private Bank,260795.3376,11584.68,1,2866.3362,310876.6206,116399.864217,69072.446898,67077.02065428,48101.1258,1136169.2979,1,2
PKR74197,Andrew Mills,55,Male,27913,01/06/1997,Shawn Wallace,European,Actuary,Peter Castillo,Mid,Silver,Retail,78892.5201,32369.71,1,4882.1292,1510860.6396,317542.212,134344.782,71284.15554,20708.5476,2283081.5748,3,2
PKR28503,Jack Coleman,61,Female,9505,06/22/2014,Ernest Rivera,Asian,Staff Accountant II,Lawrence Sanchez,High,Silver,Retail,257120.2197,16263.99,1,8614.0584,436988.439,2446251.572376,1273391.229456,253337.83407072,80698.2588,1128082.14,1,3
PKR56539,Aaron Day,56,Female,36232,01/19/1994,Gregory Simmons,Asian,Assistant Media Planner,Victor Gutierrez,Low,Jade,Retail,145704.5538,3078.27,1,1895.0568,384153.3696,55118.865984,25590.902064,64095.36701568,10492.3728,199617.8184,3,1
PKR53604,Kevin Weaver,43,Female,6299,03/31/2019,Frank Brown,American,Staff Accountant I,Daniel Carroll,Low,Jade,Retail,34404.16,19668.4,2,5384.7,1102836.16,204450.828,89694.5568,35877.82272,22452.06,1115542.44,3,1
PKR32064,Mary Fox,63,Female,7694,03/09/2009,Adam Hernandez,Australian,Compensation Analyst,Eugene Cunningham,Mid,Jade,Commercial,129060.8774,17283.63,1,395.577,1000409.319,966281.3433,472404.21228,396819.5383152,37271.052,1631986.902,2,4
PKR72934,Carlos Little,41,Male,38321,04/03/1998,Jonathan Hawkins,American,Geologist I,Carl Anderson,Low,Jade,Retail,129981.3132,10242.84,2,2383.8624,373846.6872,38406.799296,11024.173872,25028.43087456,24422.1048,441603.5328,2,1
PKR16101,Roger Boyd,58,Female,12772,12/31/2015,Adam Hernandez,European,Web Designer II,Nicholas Ward,High,Jade,Private Bank,123545.4195,2984.52,1,2789.4375,1400623.1235,547459.736175,324420.5844,42985.727433,31481.784,1255331.52,3,2
PKR93121,Aaron Marshall,26,Female,28661,01/14/2013,Ernest Rivera,American,Media Manager IV,Peter Castillo,Mid,Jade,Institutional,308182.9292,64332.66,1,4458.608,649331.837,103871.63325,77431.58115,133711.12062,12045.066,176113.982,0,5
PKR93310,Cheryl Stewart,21,Male,8767,05/23/1992,Victor Martinez,European,Accounting Assistant II,Fred Bryant,High,Gold,Retail,122579.4094,10312.54,1,4959.3635,963017.5555,1115098.0911,368467.19532,721419.982416,11782.2215,861771.2565,1,2
PKR71301,Anne Nguyen,41,Female,14954,09/19/1997,Joshua Ryan,American,Programmer II,Ryan Taylor,High,Jade,Retail,30942.074,4469.98,1,3338.6436,276532.7712,132960.519,108193.3635,22381.687365,23955.9036,622223.7048,0,1
PKR21279,Christopher Evans,36,Female,24058,03/20/2013,Adam Hernandez,European,Administrative Assistant IV,Sean Vasquez,High,Jade,Retail,50651.5625,8097.25,3,509.205,278071.3725,302540.596275,94771.75305,153748.9439865,16732.385,430027.7725,3,1
PKR98618,Maria Clark,34,Male,8623,01/29/2014,Joe Hanson,Asian,Help Desk Operator,Carl Anderson,High,Silver,Commercial,502309.08,69381,2,10639.314,1469913.228,1724818.2966,507299.499,1168238.27484,75592.251,2143826.055,0,4
PKR35589,Jimmy Simpson,52,Female,38270,01/08/2018,George Lewis,European,Geological Engineer,Kevin Kim,High,Jade,Retail,87019.7328,11316.5,2,1253.681,273944.5566,192711.781834,54150.418036,73580.8621548,21530.9094,772573.6018,1,1
PKR40198,Louise Sanders,78,Female,29119,05/24/2005,Shawn Cook,European,Junior Executive,Ryan Taylor,Low,Jade,Retail,246615.84,35332,3,5835.256,622181.88,765153.58992,552072.84336,308192.2434336,29778.576,1078308.288,0,3
PKR49616,Angela Alvarez,34,Male,31338,08/22/2016,Patrick Graham,Australian,Biostatistician IV,Nicholas Morrison,Low,Jade,Private Bank,130023.3615,15464.38,1,219.186,366887.1429,447804.619695,221138.0838,271999.843074,31010.8338,787555.5561,0,1
PKR55475,Henry Grant,75,Male,21778,04/06/2013,Anthony Simpson,European,Software Test Engineer I,Sean Vasquez,Low,Jade,Institutional,82703.8107,8635.67,2,8521.8034,842201.3752,2098819.503112,990288.075412,424345.83052356,32253.4398,272858.2114,3,4
PKR61272,Larry Foster,47,Female,34773,12/10/1998,Raymond Alexander,European,Internal Auditor,Carl Anderson,High,Gold,Retail,137256.0924,18322.92,2,1050.5628,1035297.6606,976553.209044,180073.641384,471515.90405472,34284.8268,469532.2842,0,1
PKR33884,Carol GoPKRalez,34,Male,29287,05/29/1997,Carl Nguyen,European,Chemical Engineer,Fred Bryant,High,Platinum,Institutional,224640.7533,57090.72,3,3550.74,1091959.454,828226.5224,532945.76224,127330.8253568,61733.242,454281.8665,1,3
PKR53121,Timothy Stanley,79,Female,29278,02/15/1997,Joshua Little,American,Accountant III,Lawrence Sanchez,High,Jade,Retail,147292.908,24297.42,1,4097.6208,105266.6496,187826.402988,35438.94396,70287.238854,7805.9142,1112746.4586,3,1
PKR25680,Billy Wilson,73,Female,99,09/25/2017,Dennis Morris,European,Registered Nurse,Peter Castillo,High,Platinum,Retail,263248.9704,47651.76,2,7069.1556,693956.2266,1420246.290372,554930.669748,235234.17034572,1624.1862,2518271.847,3,3
PKR55454,Kathleen Riley,80,Male,20746,11/28/2017,Benjamin Kim,European,Cost Accountant,Sean Vasquez,Low,Jade,Institutional,193690.9314,11655.54,2,3610.4175,50809.3875,342138.313125,255463.2738,174627.395019,4469.13,626121.9,2,2
PKR96454,Bobby Jenkins,73,Female,15809,03/05/2014,Nicholas Cunningham,European,Developer IV,Nicholas Ward,Low,Gold,Institutional,91243.0464,37750.72,3,6660.8452,122158.6076,2137439.338016,639548.778304,1273038.67344512,12504.166,411062.2716,2,3
